#"Web Search Volume: a kasse vs. skilsmisse"		
#"Worldwide"	" 2004 - present"	
#
#
# q=14.1934478045447
# m=0.342367162139074
# y=0.34236*x+14.19345
# r=0.162793021854728
# rms=3.27319191511854
# n=194
# t=2.28622395534234
# P<0.05
#		
#"Interest over time"		
#"week"	"a kasse"	"skilsmisse"
"2009-03-29 - 2009-04-04"	8	15
"2009-04-05 - 2009-04-11"	4	12
"2009-04-12 - 2009-04-18"	6	15
"2009-04-19 - 2009-04-25"	8	12
"2009-04-26 - 2009-05-02"	7	14
"2009-05-03 - 2009-05-09"	6	13
"2009-05-10 - 2009-05-16"	6	15
"2009-05-17 - 2009-05-23"	6	13
"2009-05-24 - 2009-05-30"	8	18
"2009-05-31 - 2009-06-06"	4	12
"2009-06-07 - 2009-06-13"	8	14
"2009-06-14 - 2009-06-20"	8	16
"2009-06-21 - 2009-06-27"	8	12
"2009-06-28 - 2009-07-04"	8	10
"2009-07-05 - 2009-07-11"	6	15
"2009-07-12 - 2009-07-18"	6	12
"2009-07-19 - 2009-07-25"	7	13
"2009-07-26 - 2009-08-01"	6	13
"2009-08-02 - 2009-08-08"	8	20
