not:nuevas		Programa de Nuevas Tecnologias <http://www.pntic.mec.es/>
not:objecttypes		Dublin Core Resource Types: Structuralist DRAFT (DL SunSITE) <http://sunsite.berkeley.edu/Metadata/structuralist.html>
not:presentation	IMS, Presentation <http://www.imsproject.org/textdictionary.html#Presentation>
not:pricecode		IMS, Price Code <http://www.imsproject.org/textdictionary.html#Price_Code>
not:relation		Nordic Metadata Project, Relation <http://www.sics.se/~preben/DC/relation_help.html>
not:rfc1766		Request for Comments: 1766 <ftp://ftp.isi.edu/in-notes/rfc1766.txt>
not:roads		ROADS Project Software/Documentation Server <http://www.roads.lut.ac.uk/>
not:sbig		DESIRE Informaiton Gateways Handbook<http://www.desire.org/html/subjectgateways/handbook/welcome.html>
not:security		LO, Security <http://sdct-ntsrv2.ncsl.nist.gov/metadata/>
not:sgrep		Jani Jaakkola and Pekka Kilpeläinen: Sgrep home page (1999) <http://www.cs.helsinki.fi/~jjaakkol/sgrep.html>
not:sgreppatched	Sgrep patched for Solaris <http://www.lub.lu.se/~siglun/sgrep-1.92a-sl.tar.gz>
not:sizeof		IMS, SizeOf <http://www.imsproject.org/textdictionary.html#SizeOf>
not:spain		Ministerio de Educación y Cultura (The Spanish partner <http://www.pntic.mec.es/indice.html>
not:structuralist	The DC Structuralist Approach <http://sunsite.berkeley.edu/Metadata/structuralist.html>
not:subject		Subject and Keywords Label, SUBJECT <http://www.ub2.lu.se/metadata/subject-help.html>
not:sweden		Lund University Library; NetLab (The Swedish partner) <http://www.lub.lu.se/netlab/>  
not:netlab		Lund University Library; NetLab<http://www.lub.lu.se/netlab/>  
not:netlabprojects	NetLab: Projects in Progress <http://www.lub.lu.se/netlab/Projects-current.html>
not:lundberg		Sigfrid Lundberg <http://www.lub.lu.se/~siglun/>
not:tgn			Getty Thesaurus of Geographic Names <http://www.ahip.getty.edu/vocabulary/tgn.html>
not:udc			A brief guide available of the main subject headings and numbers in the UDC scheme <http://www.niss.ac.uk/resource-description/udcbrief.html>
not:walter1996		Walter, V. A., C. L. Borgman and S.  G.  Hirsch, "The science library catalog: A springboard for information literacy," School Library Media Quarterly, 24, Winter 96, pp. 105-110 (1996). <>
not:z3950		Z39.50 maintenance agency home page <http://lcweb.loc.gov/z3950/agency/>
not:z3950standard	Information and documentation -- Information retrieval (Z39.50) -- Application service definition and protocol specification <http://www.iso.ch/iso/en/CatalogueDetailPage.CatalogueDetail?CSNUMBER=27446>
not:bib1		ATTRIBUTE SET BIB-1 (Z39.50-1995): SEMANTICS <ftp://ftp.loc.gov/pub/z3950/defs/bib1.txt>
not:xd			The Z39.50 Cross-Domain Attribute Set <http://www.oclc.org/~levan/docs/crossdomainattributeset.html>
not:cimi		Z39.50 Application Profile for Cultural Heritage Information <http://www.cimi.org/downloads/ProfileFinalMar98/cimiprofile1.htm>
not:zcollections	Z39.50 Profile for Access to Digital Collections <http://lcweb.loc.gov/z3950/agency/profiles/collections.html>
not:zebra		Indexdata, The Zebra information server. <http://www.indexdata.dk/zebra/>
not:zebramanual		Zebra Server - Administrators's Guide and Reference <http://www.indexdata.dk/zebra/zebra.php>
not:zap			ZAP! <http://www.indexdata.dk/zap/>
not:HTTP1.1	HTTP 1.1 <ftp://ftp.isi.edu/in-notes/rfc2616.txt>
not:ISOTC154	ISO TC 154 WG 1 <http://forum.afnor.fr/afnor/WORK/AFNOR/GPN2/TC154WG1/index.htm>
not:PERLsax	Perl SAX implementation <http://theoryx5.uwinnipeg.ca/CPAN/data/libxml-perl/XML/Parser/PerlSAX.html>
not:RDFRDBMS	Storing RDF in a relational database <http://www-db.stanford.edu/~melnik/rdf/db.html>
not:SAX2.0 SAX 2.0: The Simple API for XML <http://www.megginson.com/SAX/index.html>
not:TIMProp	Tim Berners-Lee, The problem of annotating natural language <http://www.w3.org/DesignIssues/InterpretationProperties.html>
not:EBNF	A simple Extended Backus-Naur Form (EBNF) notation <http://www.w3.org/TR/1998/REC-xml-19980210#sec-notation>
not:XML		Extensible Markup Language <http://www.w3.org/TR/1998/REC-xml-19980210>
not:XMLDOM	Document Object Model (DOM) Level 1 Specification <http://www.w3.org/TR/REC-DOM-Level-1/>
not:XMLSCHEMA0	XML Schema Part 0: Primer <http://www.w3.org/TR/xmlschema-0/>
not:XMLSCHEMA1	XML Schema Part 1: Structures <http://www.w3.org/TR/xmlschema-1/>
not:XMLSCHEMA2	XML Schema Part 2: Datatypes <http://www.w3.org/TR/xmlschema-2/>
not:NonBinary	Non-Binary Relations in RDF <http://www.w3.org/TR/REC-rdf-syntax/#ex-NonBinary>
not:SOAP	Simple Object Access Protocol (SOAP) 1.1 <http://www.w3.org/TR/SOAP/>
not:RDFSCHEMA	Resource Description Framework (RDF) Schema Specification 1.0 <http://www.w3.org/TR/rdf-schema/>
not:XPATH	XML Path Language (XPath) Version 1.0 <http://www.w3.org/TR/xpath>
not:xlinkreq	XML XLink Requirements Version 1.0 <http://www.w3.org/TR/NOTE-xlink-req/>
not:xlink	XML Linking Language (XLink) W3C Working Draft 21-February-2000<http://www.w3.org/TR/xlink/>
not:XPTR	XML Pointer Language (XPointer) <http://www.w3.org/TR/xptr>
not:XSLT	XSL Transformations (XSLT) Version 1.0 <http://www.w3.org/TR/xslt>
not:XSL		Extensible Stylesheet Language (XSL) Version 1.0<http://www.w3.org/TR/xsl/>
not:zthes               Zthes: a Z39.50 Profile for Thesaurus Navigation <http://lcweb.loc.gov/z3950/agency/profiles/zthes-04.html>
not:zebramanual         Zebra Server - Administrators's Guide and Reference <http://www.indexdata.dk/zebra/zebra.php>
not:zap                 ZAP! <http://www.indexdata.dk/zap/>
not:z3950standard       Information and documentation -- Information retrieval (Z39.50) -- Application service definition and protocol specification <http://www.iso.ch/iso/en/CatalogueDetailPage.CatalogueDetail?CSNUMBER=27446>
not:XML         Extensible Markup Language <http://www.w3.org/TR/1998/REC-xml-19980210>
not:WWW7        A. Ardö and S. Lundberg, 1998. A regional distributed WWW search and indexing service -- the DEISRE way. Computer Networks and ISDN systems 30:173-183 <http://decweb.ethz.ch/WWW7/1900/com1900.htm>
not:NWIii       Anders Ardö, Allan Arvidsson, Sebastian Hammer, Kenneth
Holmlund and Sigfrid Lundberg, 1998. NWI II, An Enhanced Nordic Web index: Final report <http://www.nordinfo.helsinki.fi/publications/nordnytt/nnytt3-4_98/nwi_final_report.htm>
not:gilssoftware        GILS products and services <http://www.gils.net/software.html>
not:CombineTechguide    Yong, Tsao: Combine: A Distributed Open System Architecture for WWW Resource Harvesting and Indexing System<http://www.lub.lu.se/combine/docs/uguide.html>             
not:groff		<http://groff.ffii.org/>
